datetime,NS,EW,UD
2025-12-08T23:15:50.000,0.0,0.001,-0.001
2025-12-08T23:15:50.010,0.001,0.001,-0.001
2025-12-08T23:15:50.020,0.0,0.0,-0.0
2025-12-08T23:15:50.030,-0.001,-0.001,-0.0
2025-12-08T23:15:50.040,-0.002,-0.001,-0.0
2025-12-08T23:15:50.050,-0.001,0.0,-0.001
2025-12-08T23:15:50.060,0.0,0.0,-0.001
2025-12-08T23:15:50.070,0.001,-0.001,-0.001
2025-12-08T23:15:50.080,-0.0,-0.001,-0.0
2025-12-08T23:15:50.090,-0.001,-0.001,-0.0
2025-12-08T23:15:50.100,-0.001,0.0,-0.001
2025-12-08T23:15:50.110,0.0,0.0,-0.001
2025-12-08T23:15:50.120,0.0,-0.0,-0.0
2025-12-08T23:15:50.130,-0.001,-0.001,-0.0
2025-12-08T23:15:50.140,-0.001,-0.001,-0.001
2025-12-08T23:15:50.150,-0.0,0.0,-0.002
2025-12-08T23:15:50.160,0.001,0.0,-0.001
2025-12-08T23:15:50.170,0.001,0.0,-0.0
2025-12-08T23:15:50.180,-0.0,-0.0,0.0
2025-12-08T23:15:50.190,-0.001,-0.001,-0.001
2025-12-08T23:15:50.200,-0.0,-0.0,-0.001
2025-12-08T23:15:50.210,0.0,-0.0,-0.001
2025-12-08T23:15:50.220,0.0,-0.001,0.0
2025-12-08T23:15:50.230,0.0,-0.001,0.0
2025-12-08T23:15:50.240,0.0,-0.0,-0.001
2025-12-08T23:15:50.250,0.0,0.0,-0.002
2025-12-08T23:15:50.260,0.0,0.0,-0.002
2025-12-08T23:15:50.270,-0.0,-0.0,-0.001
2025-12-08T23:15:50.280,-0.001,-0.001,0.0
2025-12-08T23:15:50.290,-0.001,0.0,-0.0
2025-12-08T23:15:50.300,-0.0,0.001,-0.001
2025-12-08T23:15:50.310,0.001,0.001,-0.001
2025-12-08T23:15:50.320,0.001,0.0,-0.002
2025-12-08T23:15:50.330,-0.0,-0.001,-0.001
2025-12-08T23:15:50.340,-0.001,-0.001,-0.001
2025-12-08T23:15:50.350,-0.001,-0.001,-0.001
2025-12-08T23:15:50.360,0.0,-0.001,-0.001
2025-12-08T23:15:50.370,0.001,-0.001,-0.001
2025-12-08T23:15:50.380,0.001,-0.0,-0.001
2025-12-08T23:15:50.390,0.0,0.0,0.0
2025-12-08T23:15:50.400,-0.0,0.001,0.001
2025-12-08T23:15:50.410,0.0,0.001,0.0
2025-12-08T23:15:50.420,0.001,0.0,-0.001
2025-12-08T23:15:50.430,-0.0,-0.0,-0.002
2025-12-08T23:15:50.440,-0.002,-0.001,-0.001
2025-12-08T23:15:50.450,-0.002,-0.001,-0.001
2025-12-08T23:15:50.460,-0.001,-0.001,-0.001
2025-12-08T23:15:50.470,0.001,-0.0,-0.001
2025-12-08T23:15:50.480,0.0,0.0,-0.001
2025-12-08T23:15:50.490,-0.001,0.0,-0.001
2025-12-08T23:15:50.500,-0.001,-0.0,-0.0
2025-12-08T23:15:50.510,0.0,-0.001,-0.001
2025-12-08T23:15:50.520,0.001,-0.001,-0.001
2025-12-08T23:15:50.530,-0.0,-0.0,-0.001
2025-12-08T23:15:50.540,-0.002,-0.001,-0.0
2025-12-08T23:15:50.550,-0.002,-0.001,0.0
2025-12-08T23:15:50.560,-0.001,-0.0,-0.001
2025-12-08T23:15:50.570,0.0,0.001,-0.002
2025-12-08T23:15:50.580,-0.0,0.001,-0.002
2025-12-08T23:15:50.590,-0.001,-0.001,-0.001
2025-12-08T23:15:50.600,-0.001,-0.001,-0.001
2025-12-08T23:15:50.610,0.0,-0.001,-0.001
2025-12-08T23:15:50.620,0.001,0.0,-0.001
2025-12-08T23:15:50.630,0.0,0.0,-0.001
2025-12-08T23:15:50.640,-0.001,-0.001,-0.0
2025-12-08T23:15:50.650,-0.001,-0.001,-0.001
2025-12-08T23:15:50.660,-0.0,0.0,-0.001
2025-12-08T23:15:50.670,0.0,0.001,-0.001
2025-12-08T23:15:50.680,-0.001,0.001,-0.001
2025-12-08T23:15:50.690,-0.001,0.0,-0.001
2025-12-08T23:15:50.700,-0.001,0.0,-0.001
2025-12-08T23:15:50.710,0.0,0.001,-0.001
2025-12-08T23:15:50.720,0.001,0.0,-0.001
2025-12-08T23:15:50.730,-0.0,-0.0,-0.001
2025-12-08T23:15:50.740,-0.001,-0.0,-0.001
2025-12-08T23:15:50.750,-0.0,0.0,-0.001
2025-12-08T23:15:50.760,0.001,0.0,-0.001
2025-12-08T23:15:50.770,0.001,-0.001,-0.001
2025-12-08T23:15:50.780,0.0,-0.001,-0.001
2025-12-08T23:15:50.790,-0.001,0.0,-0.001
2025-12-08T23:15:50.800,-0.001,0.001,-0.001
2025-12-08T23:15:50.810,0.0,0.0,-0.001
2025-12-08T23:15:50.820,-0.0,-0.001,0.0
2025-12-08T23:15:50.830,-0.002,-0.001,0.0
2025-12-08T23:15:50.840,-0.003,-0.0,-0.001
2025-12-08T23:15:50.850,-0.002,0.001,-0.001
2025-12-08T23:15:50.860,0.0,0.0,-0.001
2025-12-08T23:15:50.870,0.001,-0.001,-0.001
2025-12-08T23:15:50.880,0.0,-0.001,-0.0
2025-12-08T23:15:50.890,-0.001,0.0,-0.0
2025-12-08T23:15:50.900,-0.0,0.0,-0.001
2025-12-08T23:15:50.910,0.0,-0.001,-0.001
2025-12-08T23:15:50.920,0.0,-0.001,-0.001
2025-12-08T23:15:50.930,0.0,0.0,-0.001
2025-12-08T23:15:50.940,-0.0,0.001,-0.001
2025-12-08T23:15:50.950,-0.0,0.0,-0.0
2025-12-08T23:15:50.960,-0.001,-0.001,-0.0
2025-12-08T23:15:50.970,-0.001,-0.001,-0.001
2025-12-08T23:15:50.980,-0.0,0.001,-0.001
2025-12-08T23:15:50.990,0.001,0.001,-0.001
2025-12-08T23:15:51.000,0.002,0.001,-0.001
2025-12-08T23:15:51.010,0.0,-0.0,-0.002
2025-12-08T23:15:51.020,-0.002,-0.001,-0.002
2025-12-08T23:15:51.030,-0.002,-0.0,-0.002
2025-12-08T23:15:51.040,-0.0,-0.0,-0.001
2025-12-08T23:15:51.050,0.001,-0.0,-0.001
2025-12-08T23:15:51.060,0.0,-0.001,-0.001
2025-12-08T23:15:51.070,-0.001,-0.001,-0.001
2025-12-08T23:15:51.080,-0.001,-0.0,-0.001
2025-12-08T23:15:51.090,0.0,0.001,-0.001
2025-12-08T23:15:51.100,0.001,0.001,-0.001
2025-12-08T23:15:51.110,0.0,0.0,-0.001
2025-12-08T23:15:51.120,-0.0,-0.001,-0.001
2025-12-08T23:15:51.130,-0.001,-0.001,-0.001
2025-12-08T23:15:51.140,-0.001,-0.0,-0.0
2025-12-08T23:15:51.150,-0.001,0.0,-0.001
2025-12-08T23:15:51.160,-0.002,0.0,-0.003
2025-12-08T23:15:51.170,-0.001,0.0,-0.003
2025-12-08T23:15:51.180,0.0,0.0,-0.001
2025-12-08T23:15:51.190,0.001,0.0,0.0
2025-12-08T23:15:51.200,0.0,0.0,0.0
2025-12-08T23:15:51.210,-0.001,0.001,-0.001
2025-12-08T23:15:51.220,-0.001,0.001,-0.003
2025-12-08T23:15:51.230,0.0,0.0,-0.002
2025-12-08T23:15:51.240,0.0,-0.0,-0.0
2025-12-08T23:15:51.250,-0.001,0.0,0.0
2025-12-08T23:15:51.260,-0.001,0.001,-0.001
2025-12-08T23:15:51.270,-0.0,0.001,-0.001
2025-12-08T23:15:51.280,0.001,-0.001,-0.002
2025-12-08T23:15:51.290,0.001,-0.001,-0.002
2025-12-08T23:15:51.300,0.0,-0.001,-0.002
2025-12-08T23:15:51.310,0.0,0.0,-0.002
2025-12-08T23:15:51.320,0.0,0.001,-0.001
2025-12-08T23:15:51.330,0.0,0.0,-0.001
2025-12-08T23:15:51.340,-0.0,-0.0,-0.001
2025-12-08T23:15:51.350,-0.0,-0.0,-0.001
2025-12-08T23:15:51.360,-0.0,0.0,-0.001
2025-12-08T23:15:51.370,-0.001,0.001,-0.001
2025-12-08T23:15:51.380,-0.001,0.001,-0.002
2025-12-08T23:15:51.390,-0.001,0.0,-0.002
2025-12-08T23:15:51.400,-0.001,-0.0,-0.002
2025-12-08T23:15:51.410,-0.0,0.0,-0.001
2025-12-08T23:15:51.420,0.0,0.001,-0.001
2025-12-08T23:15:51.430,-0.0,0.0,-0.001
2025-12-08T23:15:51.440,-0.001,-0.002,-0.001
2025-12-08T23:15:51.450,-0.001,-0.003,-0.001
2025-12-08T23:15:51.460,-0.001,-0.001,0.0
2025-12-08T23:15:51.470,0.0,0.0,-0.0
2025-12-08T23:15:51.480,0.001,0.001,-0.001
2025-12-08T23:15:51.490,0.0,0.001,-0.001
2025-12-08T23:15:51.500,-0.001,0.0,-0.001
2025-12-08T23:15:51.510,-0.001,-0.0,-0.001
2025-12-08T23:15:51.520,0.0,0.0,-0.001
2025-12-08T23:15:51.530,0.001,0.001,-0.001
2025-12-08T23:15:51.540,0.001,0.0,-0.001
2025-12-08T23:15:51.550,0.0,-0.0,-0.001
2025-12-08T23:15:51.560,0.0,-0.001,-0.001
2025-12-08T23:15:51.570,0.001,-0.0,-0.001
2025-12-08T23:15:51.580,0.001,0.0,-0.001
2025-12-08T23:15:51.590,0.001,0.0,-0.0
2025-12-08T23:15:51.600,0.0,-0.001,-0.001
2025-12-08T23:15:51.610,0.0,-0.001,-0.001
2025-12-08T23:15:51.620,0.0,-0.0,-0.001
2025-12-08T23:15:51.630,0.0,0.0,-0.001
2025-12-08T23:15:51.640,0.0,0.001,-0.001
2025-12-08T23:15:51.650,-0.0,0.0,-0.001
2025-12-08T23:15:51.660,-0.001,-0.001,-0.001
2025-12-08T23:15:51.670,-0.001,-0.001,-0.0
2025-12-08T23:15:51.680,-0.0,-0.0,-0.001
2025-12-08T23:15:51.690,0.0,0.0,-0.001
2025-12-08T23:15:51.700,-0.0,0.0,-0.001
2025-12-08T23:15:51.710,-0.0,0.001,-0.0
2025-12-08T23:15:51.720,0.0,0.001,-0.0
2025-12-08T23:15:51.730,0.0,0.0,-0.001
2025-12-08T23:15:51.740,-0.001,-0.001,-0.002
2025-12-08T23:15:51.750,-0.001,-0.001,-0.002
2025-12-08T23:15:51.760,-0.001,-0.001,-0.001
2025-12-08T23:15:51.770,0.0,-0.001,-0.001
2025-12-08T23:15:51.780,0.0,-0.001,-0.001
2025-12-08T23:15:51.790,-0.0,-0.002,-0.001
2025-12-08T23:15:51.800,-0.0,0.0,-0.001
2025-12-08T23:15:51.810,0.0,0.001,-0.001
2025-12-08T23:15:51.820,0.0,0.0,-0.002
2025-12-08T23:15:51.830,-0.0,-0.002,-0.002
2025-12-08T23:15:51.840,-0.0,-0.002,-0.001
2025-12-08T23:15:51.850,0.0,0.001,-0.001
2025-12-08T23:15:51.860,0.0,0.003,-0.002
2025-12-08T23:15:51.870,-0.001,0.001,-0.002
2025-12-08T23:15:51.880,-0.001,-0.002,-0.001
2025-12-08T23:15:51.890,-0.001,-0.001,-0.001
2025-12-08T23:15:51.900,0.0,0.001,-0.001
2025-12-08T23:15:51.910,0.0,0.001,-0.002
2025-12-08T23:15:51.920,-0.001,-0.001,-0.001
2025-12-08T23:15:51.930,-0.003,-0.002,0.0
2025-12-08T23:15:51.940,-0.003,0.0,0.0
2025-12-08T23:15:51.950,-0.002,0.002,-0.001
2025-12-08T23:15:51.960,-0.001,0.001,-0.001
2025-12-08T23:15:51.970,0.0,-0.002,-0.001
2025-12-08T23:15:51.980,0.001,-0.002,-0.0
2025-12-08T23:15:51.990,0.001,0.001,0.0
2025-12-08T23:15:52.000,0.001,0.002,0.0
2025-12-08T23:15:52.010,0.0,0.001,-0.0
2025-12-08T23:15:52.020,-0.002,-0.0,-0.001
2025-12-08T23:15:52.030,-0.003,-0.0,-0.001
2025-12-08T23:15:52.040,-0.001,0.0,-0.001
2025-12-08T23:15:52.050,0.0,0.0,-0.001
2025-12-08T23:15:52.060,0.0,-0.001,-0.001
2025-12-08T23:15:52.070,-0.001,-0.001,-0.001
2025-12-08T23:15:52.080,-0.001,-0.0,-0.001
2025-12-08T23:15:52.090,-0.0,-0.0,-0.0
2025-12-08T23:15:52.100,0.0,-0.001,-0.001
2025-12-08T23:15:52.110,0.0,-0.001,-0.002
2025-12-08T23:15:52.120,-0.001,-0.0,-0.002
2025-12-08T23:15:52.130,-0.001,0.0,-0.001
2025-12-08T23:15:52.140,-0.001,0.0,-0.001
2025-12-08T23:15:52.150,-0.0,-0.0,-0.001
2025-12-08T23:15:52.160,0.0,-0.0,-0.001
2025-12-08T23:15:52.170,0.0,-0.001,-0.001
2025-12-08T23:15:52.180,0.0,-0.002,-0.0
2025-12-08T23:15:52.190,0.0,-0.003,0.0
2025-12-08T23:15:52.200,0.0,-0.001,-0.0
2025-12-08T23:15:52.210,0.001,0.001,-0.0
2025-12-08T23:15:52.220,0.001,0.001,-0.0
2025-12-08T23:15:52.230,0.001,0.0,-0.001
2025-12-08T23:15:52.240,0.0,-0.001,-0.001
2025-12-08T23:15:52.250,-0.001,0.0,-0.001
2025-12-08T23:15:52.260,-0.001,0.001,-0.001
2025-12-08T23:15:52.270,-0.001,0.0,-0.001
2025-12-08T23:15:52.280,0.0,-0.001,-0.001
2025-12-08T23:15:52.290,0.001,-0.001,-0.001
2025-12-08T23:15:52.300,0.001,-0.0,-0.001
2025-12-08T23:15:52.310,0.0,0.0,0.0
2025-12-08T23:15:52.320,-0.0,-0.001,0.0
2025-12-08T23:15:52.330,-0.001,-0.001,-0.0
2025-12-08T23:15:52.340,-0.0,-0.0,-0.001
2025-12-08T23:15:52.350,0.0,0.0,-0.001
2025-12-08T23:15:52.360,0.0,0.0,-0.001
2025-12-08T23:15:52.370,0.0,-0.001,-0.0
2025-12-08T23:15:52.380,-0.001,-0.001,-0.0
2025-12-08T23:15:52.390,-0.001,0.0,-0.001
2025-12-08T23:15:52.400,0.0,0.001,-0.001
2025-12-08T23:15:52.410,0.001,0.001,-0.001
2025-12-08T23:15:52.420,0.0,0.001,-0.001
2025-12-08T23:15:52.430,0.0,0.0,-0.001
2025-12-08T23:15:52.440,0.0,-0.001,-0.002
2025-12-08T23:15:52.450,0.0,-0.001,-0.002
2025-12-08T23:15:52.460,-0.0,-0.001,-0.001
2025-12-08T23:15:52.470,-0.0,0.0,-0.0
2025-12-08T23:15:52.480,0.0,0.001,-0.001
2025-12-08T23:15:52.490,0.0,0.001,-0.001
2025-12-08T23:15:52.500,-0.001,-0.001,-0.001
2025-12-08T23:15:52.510,-0.001,-0.002,-0.001
2025-12-08T23:15:52.520,-0.001,-0.001,-0.001
2025-12-08T23:15:52.530,-0.0,0.001,-0.001
2025-12-08T23:15:52.540,-0.0,0.001,-0.001
2025-12-08T23:15:52.550,-0.001,-0.0,-0.001
2025-12-08T23:15:52.560,-0.001,-0.002,-0.001
2025-12-08T23:15:52.570,-0.001,-0.001,-0.001
2025-12-08T23:15:52.580,0.0,0.0,-0.0
2025-12-08T23:15:52.590,0.0,0.0,0.0
2025-12-08T23:15:52.600,-0.0,-0.001,-0.0
2025-12-08T23:15:52.610,-0.001,-0.001,-0.001
2025-12-08T23:15:52.620,0.0,0.0,-0.001
2025-12-08T23:15:52.630,0.0,0.001,-0.001
2025-12-08T23:15:52.640,-0.001,0.0,-0.002
2025-12-08T23:15:52.650,-0.001,-0.001,-0.002
2025-12-08T23:15:52.660,-0.001,-0.001,-0.001
2025-12-08T23:15:52.670,0.0,-0.0,-0.0
2025-12-08T23:15:52.680,0.0,0.0,-0.0
2025-12-08T23:15:52.690,-0.001,-0.001,-0.0
2025-12-08T23:15:52.700,0.0,-0.001,0.0
2025-12-08T23:15:52.710,0.001,-0.0,0.001
2025-12-08T23:15:52.720,0.002,0.001,0.0
2025-12-08T23:15:52.730,0.001,0.001,-0.001
2025-12-08T23:15:52.740,-0.0,0.0,-0.001
2025-12-08T23:15:52.750,-0.001,-0.001,-0.0
2025-12-08T23:15:52.760,-0.001,-0.001,-0.0
2025-12-08T23:15:52.770,-0.001,-0.001,-0.001
2025-12-08T23:15:52.780,-0.001,0.0,-0.002
2025-12-08T23:15:52.790,-0.0,0.001,-0.003
2025-12-08T23:15:52.800,-0.001,0.001,-0.001
2025-12-08T23:15:52.810,-0.001,0.0,-0.001
2025-12-08T23:15:52.820,-0.002,-0.0,-0.001
2025-12-08T23:15:52.830,-0.0,-0.0,-0.002
2025-12-08T23:15:52.840,0.001,-0.0,-0.001
2025-12-08T23:15:52.850,0.002,-0.0,0.0
2025-12-08T23:15:52.860,0.001,-0.001,0.0
2025-12-08T23:15:52.870,0.0,-0.001,0.0
2025-12-08T23:15:52.880,0.0,-0.001,-0.001
2025-12-08T23:15:52.890,0.0,-0.0,-0.002
2025-12-08T23:15:52.900,-0.0,0.0,-0.002
2025-12-08T23:15:52.910,-0.0,0.0,-0.001
2025-12-08T23:15:52.920,0.0,0.0,-0.0
2025-12-08T23:15:52.930,0.001,0.0,0.0
2025-12-08T23:15:52.940,0.0,0.0,-0.0
2025-12-08T23:15:52.950,-0.001,0.0,-0.001
2025-12-08T23:15:52.960,-0.001,0.0,-0.0
2025-12-08T23:15:52.970,0.0,0.0,0.0
2025-12-08T23:15:52.980,0.002,0.001,-0.001
2025-12-08T23:15:52.990,0.002,0.001,-0.001
2025-12-08T23:15:53.000,0.0,0.0,-0.002
2025-12-08T23:15:53.010,-0.001,-0.001,-0.001
2025-12-08T23:15:53.020,0.0,-0.001,-0.001
2025-12-08T23:15:53.030,0.001,0.0,-0.001
2025-12-08T23:15:53.040,0.001,0.0,-0.001
2025-12-08T23:15:53.050,0.001,-0.001,-0.0
2025-12-08T23:15:53.060,0.0,-0.001,-0.0
2025-12-08T23:15:53.070,0.0,-0.001,-0.001
2025-12-08T23:15:53.080,0.0,0.0,-0.001
2025-12-08T23:15:53.090,-0.0,-0.0,-0.001
2025-12-08T23:15:53.100,0.0,-0.001,-0.001
2025-12-08T23:15:53.110,0.0,-0.0,-0.001
2025-12-08T23:15:53.120,0.0,0.001,-0.001
2025-12-08T23:15:53.130,-0.0,0.001,-0.001
2025-12-08T23:15:53.140,-0.001,-0.0,-0.001
2025-12-08T23:15:53.150,-0.0,-0.001,-0.0
2025-12-08T23:15:53.160,0.0,0.0,-0.0
2025-12-08T23:15:53.170,0.0,0.0,-0.001
2025-12-08T23:15:53.180,-0.0,0.0,-0.002
2025-12-08T23:15:53.190,-0.001,0.0,-0.002
2025-12-08T23:15:53.200,-0.001,0.001,-0.001
2025-12-08T23:15:53.210,-0.0,0.001,0.0
2025-12-08T23:15:53.220,0.0,0.001,0.0
