datetime,NS,EW,UD
2025-12-08T23:18:10.000,0.181,0.025,0.092
2025-12-08T23:18:10.010,0.152,-0.005,0.096
2025-12-08T23:18:10.020,0.121,-0.039,0.091
2025-12-08T23:18:10.030,0.096,-0.071,0.071
2025-12-08T23:18:10.040,0.078,-0.097,0.045
2025-12-08T23:18:10.050,0.058,-0.116,0.029
2025-12-08T23:18:10.060,0.032,-0.131,0.028
2025-12-08T23:18:10.070,0.002,-0.143,0.03
2025-12-08T23:18:10.080,-0.027,-0.155,0.024
2025-12-08T23:18:10.090,-0.048,-0.167,0.0
2025-12-08T23:18:10.100,-0.061,-0.175,-0.032
2025-12-08T23:18:10.110,-0.069,-0.177,-0.062
2025-12-08T23:18:10.120,-0.07,-0.176,-0.083
2025-12-08T23:18:10.130,-0.061,-0.173,-0.097
2025-12-08T23:18:10.140,-0.036,-0.169,-0.108
2025-12-08T23:18:10.150,-0.002,-0.163,-0.116
2025-12-08T23:18:10.160,0.032,-0.156,-0.121
2025-12-08T23:18:10.170,0.056,-0.157,-0.126
2025-12-08T23:18:10.180,0.075,-0.173,-0.134
2025-12-08T23:18:10.190,0.098,-0.203,-0.146
2025-12-08T23:18:10.200,0.131,-0.234,-0.157
2025-12-08T23:18:10.210,0.171,-0.251,-0.162
2025-12-08T23:18:10.220,0.207,-0.249,-0.161
2025-12-08T23:18:10.230,0.237,-0.238,-0.157
2025-12-08T23:18:10.240,0.26,-0.229,-0.156
2025-12-08T23:18:10.250,0.282,-0.22,-0.158
2025-12-08T23:18:10.260,0.298,-0.2,-0.161
2025-12-08T23:18:10.270,0.302,-0.166,-0.158
2025-12-08T23:18:10.280,0.291,-0.119,-0.146
2025-12-08T23:18:10.290,0.269,-0.069,-0.128
2025-12-08T23:18:10.300,0.243,-0.019,-0.111
2025-12-08T23:18:10.310,0.218,0.031,-0.099
2025-12-08T23:18:10.320,0.193,0.081,-0.092
2025-12-08T23:18:10.330,0.167,0.125,-0.089
2025-12-08T23:18:10.340,0.136,0.152,-0.086
2025-12-08T23:18:10.350,0.099,0.16,-0.082
2025-12-08T23:18:10.360,0.058,0.155,-0.08
2025-12-08T23:18:10.370,0.02,0.146,-0.082
2025-12-08T23:18:10.380,-0.01,0.141,-0.087
2025-12-08T23:18:10.390,-0.025,0.144,-0.095
2025-12-08T23:18:10.400,-0.026,0.151,-0.1
2025-12-08T23:18:10.410,-0.02,0.155,-0.1
2025-12-08T23:18:10.420,-0.012,0.149,-0.096
2025-12-08T23:18:10.430,-0.004,0.131,-0.09
2025-12-08T23:18:10.440,0.002,0.106,-0.086
2025-12-08T23:18:10.450,0.009,0.085,-0.083
2025-12-08T23:18:10.460,0.011,0.075,-0.082
2025-12-08T23:18:10.470,0.009,0.078,-0.081
2025-12-08T23:18:10.480,0.0,0.084,-0.077
2025-12-08T23:18:10.490,-0.009,0.082,-0.067
2025-12-08T23:18:10.500,-0.018,0.074,-0.05
2025-12-08T23:18:10.510,-0.029,0.067,-0.033
2025-12-08T23:18:10.520,-0.048,0.071,-0.018
2025-12-08T23:18:10.530,-0.073,0.086,-0.011
2025-12-08T23:18:10.540,-0.098,0.107,-0.011
2025-12-08T23:18:10.550,-0.112,0.128,-0.014
2025-12-08T23:18:10.560,-0.112,0.146,-0.013
2025-12-08T23:18:10.570,-0.105,0.156,-0.006
2025-12-08T23:18:10.580,-0.101,0.156,0.007
2025-12-08T23:18:10.590,-0.107,0.141,0.021
2025-12-08T23:18:10.600,-0.119,0.116,0.029
2025-12-08T23:18:10.610,-0.13,0.085,0.031
2025-12-08T23:18:10.620,-0.135,0.055,0.032
2025-12-08T23:18:10.630,-0.132,0.025,0.039
2025-12-08T23:18:10.640,-0.124,-0.006,0.055
2025-12-08T23:18:10.650,-0.111,-0.038,0.071
2025-12-08T23:18:10.660,-0.094,-0.07,0.077
2025-12-08T23:18:10.670,-0.075,-0.101,0.069
2025-12-08T23:18:10.680,-0.058,-0.135,0.052
2025-12-08T23:18:10.690,-0.045,-0.173,0.035
2025-12-08T23:18:10.700,-0.037,-0.207,0.022
2025-12-08T23:18:10.710,-0.032,-0.225,0.011
2025-12-08T23:18:10.720,-0.025,-0.217,-0.001
2025-12-08T23:18:10.730,-0.012,-0.188,-0.013
2025-12-08T23:18:10.740,0.004,-0.16,-0.021
2025-12-08T23:18:10.750,0.017,-0.151,-0.023
2025-12-08T23:18:10.760,0.025,-0.164,-0.021
2025-12-08T23:18:10.770,0.03,-0.184,-0.021
2025-12-08T23:18:10.780,0.034,-0.194,-0.027
2025-12-08T23:18:10.790,0.042,-0.188,-0.032
2025-12-08T23:18:10.800,0.05,-0.177,-0.032
2025-12-08T23:18:10.810,0.054,-0.178,-0.023
2025-12-08T23:18:10.820,0.055,-0.198,-0.009
2025-12-08T23:18:10.830,0.054,-0.23,-0.002
2025-12-08T23:18:10.840,0.047,-0.261,-0.004
2025-12-08T23:18:10.850,0.027,-0.284,-0.012
2025-12-08T23:18:10.860,-0.016,-0.298,-0.02
2025-12-08T23:18:10.870,-0.079,-0.309,-0.021
2025-12-08T23:18:10.880,-0.148,-0.316,-0.018
2025-12-08T23:18:10.890,-0.207,-0.316,-0.014
2025-12-08T23:18:10.900,-0.253,-0.306,-0.014
2025-12-08T23:18:10.910,-0.293,-0.284,-0.017
2025-12-08T23:18:10.920,-0.341,-0.254,-0.017
2025-12-08T23:18:10.930,-0.394,-0.221,-0.016
2025-12-08T23:18:10.940,-0.441,-0.19,-0.016
2025-12-08T23:18:10.950,-0.463,-0.163,-0.018
2025-12-08T23:18:10.960,-0.457,-0.145,-0.02
2025-12-08T23:18:10.970,-0.435,-0.138,-0.014
2025-12-08T23:18:10.980,-0.41,-0.141,0.0
2025-12-08T23:18:10.990,-0.388,-0.149,0.017
2025-12-08T23:18:11.000,-0.368,-0.157,0.026
2025-12-08T23:18:11.010,-0.348,-0.168,0.026
2025-12-08T23:18:11.020,-0.327,-0.183,0.021
2025-12-08T23:18:11.030,-0.301,-0.202,0.023
2025-12-08T23:18:11.040,-0.264,-0.215,0.039
2025-12-08T23:18:11.050,-0.212,-0.213,0.067
2025-12-08T23:18:11.060,-0.159,-0.194,0.098
