datetime,NS,EW,UD
2025-12-08T23:16:10.000,0.005,0.013,-0.009
2025-12-08T23:16:10.010,-0.016,0.019,-0.023
2025-12-08T23:16:10.020,-0.031,0.016,-0.022
2025-12-08T23:16:10.030,-0.027,0.003,-0.007
2025-12-08T23:16:10.040,-0.003,-0.011,0.012
2025-12-08T23:16:10.050,0.024,-0.018,0.02
2025-12-08T23:16:10.060,0.035,-0.015,0.011
2025-12-08T23:16:10.070,0.022,-0.007,-0.005
2025-12-08T23:16:10.080,-0.004,-0.001,-0.017
2025-12-08T23:16:10.090,-0.025,0.0,-0.016
2025-12-08T23:16:10.100,-0.027,0.0,-0.005
2025-12-08T23:16:10.110,-0.009,0.004,0.007
2025-12-08T23:16:10.120,0.013,0.009,0.011
2025-12-08T23:16:10.130,0.021,0.01,0.005
2025-12-08T23:16:10.140,0.009,0.006,-0.005
2025-12-08T23:16:10.150,-0.016,0.001,-0.012
2025-12-08T23:16:10.160,-0.032,0.001,-0.011
2025-12-08T23:16:10.170,-0.027,0.003,-0.003
2025-12-08T23:16:10.180,-0.005,-0.001,0.007
2025-12-08T23:16:10.190,0.018,-0.012,0.011
2025-12-08T23:16:10.200,0.024,-0.021,0.005
2025-12-08T23:16:10.210,0.012,-0.016,-0.006
2025-12-08T23:16:10.220,-0.008,0.001,-0.015
2025-12-08T23:16:10.230,-0.019,0.016,-0.014
2025-12-08T23:16:10.240,-0.013,0.017,-0.005
2025-12-08T23:16:10.250,0.003,0.006,0.007
2025-12-08T23:16:10.260,0.017,-0.003,0.012
2025-12-08T23:16:10.270,0.018,-0.002,0.007
2025-12-08T23:16:10.280,0.004,0.003,-0.004
2025-12-08T23:16:10.290,-0.016,0.002,-0.012
2025-12-08T23:16:10.300,-0.029,-0.008,-0.012
2025-12-08T23:16:10.310,-0.025,-0.016,-0.007
2025-12-08T23:16:10.320,-0.004,-0.012,-0.0
2025-12-08T23:16:10.330,0.019,0.003,0.003
2025-12-08T23:16:10.340,0.027,0.016,0.002
2025-12-08T23:16:10.350,0.014,0.016,-0.002
2025-12-08T23:16:10.360,-0.009,0.003,-0.007
