datetime,NS,EW,UD
2025-12-08T23:17:30.000,0.1,-0.083,-0.047
2025-12-08T23:17:30.010,0.082,-0.082,-0.021
2025-12-08T23:17:30.020,0.054,-0.065,-0.004
2025-12-08T23:17:30.030,0.018,-0.045,0.008
2025-12-08T23:17:30.040,-0.014,-0.043,0.018
2025-12-08T23:17:30.050,-0.043,-0.07,0.025
2025-12-08T23:17:30.060,-0.066,-0.12,0.033
2025-12-08T23:17:30.070,-0.082,-0.17,0.041
2025-12-08T23:17:30.080,-0.087,-0.208,0.05
2025-12-08T23:17:30.090,-0.078,-0.232,0.062
2025-12-08T23:17:30.100,-0.061,-0.25,0.078
2025-12-08T23:17:30.110,-0.046,-0.266,0.095
2025-12-08T23:17:30.120,-0.045,-0.275,0.101
2025-12-08T23:17:30.130,-0.057,-0.276,0.09
2025-12-08T23:17:30.140,-0.068,-0.273,0.06
2025-12-08T23:17:30.150,-0.066,-0.276,0.019
2025-12-08T23:17:30.160,-0.054,-0.288,-0.021
2025-12-08T23:17:30.170,-0.049,-0.305,-0.06
2025-12-08T23:17:30.180,-0.061,-0.318,-0.096
2025-12-08T23:17:30.190,-0.084,-0.319,-0.128
2025-12-08T23:17:30.200,-0.1,-0.303,-0.149
2025-12-08T23:17:30.210,-0.1,-0.269,-0.157
2025-12-08T23:17:30.220,-0.091,-0.216,-0.159
2025-12-08T23:17:30.230,-0.087,-0.151,-0.16
2025-12-08T23:17:30.240,-0.09,-0.08,-0.16
2025-12-08T23:17:30.250,-0.095,-0.012,-0.152
2025-12-08T23:17:30.260,-0.095,0.045,-0.133
2025-12-08T23:17:30.270,-0.092,0.089,-0.112
2025-12-08T23:17:30.280,-0.09,0.118,-0.096
2025-12-08T23:17:30.290,-0.083,0.132,-0.083
2025-12-08T23:17:30.300,-0.067,0.139,-0.066
2025-12-08T23:17:30.310,-0.042,0.149,-0.041
2025-12-08T23:17:30.320,-0.02,0.166,-0.015
2025-12-08T23:17:30.330,-0.013,0.191,0.003
2025-12-08T23:17:30.340,-0.026,0.219,0.009
2025-12-08T23:17:30.350,-0.05,0.244,0.002
2025-12-08T23:17:30.360,-0.07,0.262,-0.017
2025-12-08T23:17:30.370,-0.074,0.269,-0.049
2025-12-08T23:17:30.380,-0.063,0.268,-0.086
2025-12-08T23:17:30.390,-0.045,0.262,-0.118
2025-12-08T23:17:30.400,-0.032,0.255,-0.138
2025-12-08T23:17:30.410,-0.034,0.244,-0.148
2025-12-08T23:17:30.420,-0.047,0.221,-0.15
2025-12-08T23:17:30.430,-0.061,0.182,-0.144
2025-12-08T23:17:30.440,-0.063,0.135,-0.125
2025-12-08T23:17:30.450,-0.048,0.093,-0.096
2025-12-08T23:17:30.460,-0.026,0.062,-0.066
2025-12-08T23:17:30.470,-0.005,0.036,-0.049
2025-12-08T23:17:30.480,0.008,0.007,-0.048
2025-12-08T23:17:30.490,0.019,-0.027,-0.052
2025-12-08T23:17:30.500,0.032,-0.056,-0.049
2025-12-08T23:17:30.510,0.048,-0.073,-0.033
2025-12-08T23:17:30.520,0.066,-0.082,-0.008
2025-12-08T23:17:30.530,0.086,-0.087,0.018
2025-12-08T23:17:30.540,0.106,-0.094,0.051
2025-12-08T23:17:30.550,0.123,-0.099,0.093
